prr,algorithm,num_communities,modularity,jaccard,nmi,variation_of_info
0.0,Infomap,33,0.4200806062069799,0.02183318241271758,0.06101542153434391,6.87114026666845
0.0,Louvain,11,0.4474908676488347,0.06381578947368421,0.02499716617512676,5.612810324854551
0.0,Leiden,12,0.46925850591715973,0.06071932884791095,0.02418099473632428,5.703079187301334
0.08,Infomap,1,0.0,0.19732441471571907,0.0,2.321928094887362
0.08,Louvain,8,0.2960034691728559,0.1333780160857909,0.1360610554286466,4.491581720787764
0.08,Leiden,7,0.3342078302423149,0.2764399609502115,0.35687173250826393,3.2543761218218252
0.16,Infomap,5,0.45872675104031524,0.9866442199775534,0.9894489329632017,0.048996792263291455
0.16,Louvain,5,0.457426047448065,0.9866442199775534,0.9894489329632017,0.048996792263291455
0.16,Leiden,5,0.45876874047835664,1.0,1.0,0.0
0.32,Infomap,5,0.5936062502029502,1.0,1.0,0.0
0.32,Louvain,5,0.5936062502029502,1.0,1.0,0.0
0.32,Leiden,5,0.5936062502029501,1.0,1.0,0.0
0.64,Infomap,5,0.6855902784960463,1.0,1.0,0.0
0.64,Louvain,5,0.6855902784960461,1.0,1.0,0.0
0.64,Leiden,5,0.6855902784960461,1.0,1.0,0.0
1.0,Infomap,5,0.7239913469306816,1.0,1.0,0.0
1.0,Louvain,5,0.7239913469306816,1.0,1.0,0.0
1.0,Leiden,5,0.7239913469306816,1.0,1.0,0.0
